timeStamp,Time,elapsed,responseCode,threadName,grpThreads,allThreads,Latency,IdleTime,Connect
1.5834E+12,05/03/2020 10:24:15.176,98,200,Thread Group 1-1,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:15.189,348,200,Thread Group 1-5,10,10,348,0,0
1.5834E+12,05/03/2020 10:24:15.193,93,200,Thread Group 1-6,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:15.193,106,200,Thread Group 1-2,10,10,106,0,0
1.5834E+12,05/03/2020 10:24:15.197,84,200,Thread Group 1-3,10,10,84,0,0
1.5834E+12,05/03/2020 10:24:15.239,371,200,Thread Group 1-4,10,10,371,0,2
1.5834E+12,05/03/2020 10:24:15.240,99,200,Thread Group 1-10,10,10,99,0,0
1.5834E+12,05/03/2020 10:24:15.269,93,200,Thread Group 1-1,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:15.285,88,200,Thread Group 1-3,10,10,88,0,0
1.5834E+12,05/03/2020 10:24:15.332,92,200,Thread Group 1-10,10,10,92,0,0
1.5834E+12,05/03/2020 10:24:15.336,96,200,Thread Group 1-4,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:15.378,93,200,Thread Group 1-3,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:15.391,198,200,Thread Group 1-2,10,10,198,0,0
1.5834E+12,05/03/2020 10:24:15.431,99,200,Thread Group 1-10,10,10,99,0,0
1.5834E+12,05/03/2020 10:24:15.433,97,200,Thread Group 1-4,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:15.442,173,200,Thread Group 1-1,10,10,173,0,0
1.5834E+12,05/03/2020 10:24:15.483,290,200,Thread Group 1-6,10,10,290,0,0
1.5834E+12,05/03/2020 10:24:15.529,151,200,Thread Group 1-3,10,10,151,0,0
1.5834E+12,05/03/2020 10:24:15.582,149,200,Thread Group 1-4,10,10,149,0,0
1.5834E+12,05/03/2020 10:24:15.638,154,200,Thread Group 1-6,10,10,154,0,0
1.5834E+12,05/03/2020 10:24:15.697,306,200,Thread Group 1-2,10,10,306,0,0
1.5834E+12,05/03/2020 10:24:15.731,93,200,Thread Group 1-6,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:15.742,213,200,Thread Group 1-3,10,10,212,0,0
1.5834E+12,05/03/2020 10:24:15.742,553,200,Thread Group 1-5,10,10,553,0,2
1.5834E+12,05/03/2020 10:24:15.745,303,200,Thread Group 1-1,10,10,303,0,0
1.5834E+12,05/03/2020 10:24:15.774,192,200,Thread Group 1-4,10,10,191,0,0
1.5834E+12,05/03/2020 10:24:15.784,87,200,Thread Group 1-2,10,10,86,0,0
1.5834E+12,05/03/2020 10:24:15.793,362,200,Thread Group 1-10,10,10,362,0,0
1.5834E+12,05/03/2020 10:24:15.835,93,200,Thread Group 1-3,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:15.835,103,200,Thread Group 1-6,10,10,103,0,0
1.5834E+12,05/03/2020 10:24:15.838,96,200,Thread Group 1-5,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:15.885,111,200,Thread Group 1-4,10,10,111,0,0
1.5834E+12,05/03/2020 10:24:15.889,144,200,Thread Group 1-1,10,10,144,0,2
1.5834E+12,05/03/2020 10:24:15.891,98,200,Thread Group 1-10,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:15.938,103,200,Thread Group 1-3,10,10,103,0,0
1.5834E+12,05/03/2020 10:24:15.948,112,200,Thread Group 1-6,10,10,112,0,0
1.5834E+12,05/03/2020 10:24:15.972,83,200,Thread Group 1-1,10,10,83,0,0
1.5834E+12,05/03/2020 10:24:15.977,92,200,Thread Group 1-4,10,10,91,0,0
1.5834E+12,05/03/2020 10:24:15.991,100,200,Thread Group 1-10,10,10,100,0,0
1.5834E+12,05/03/2020 10:24:16.026,88,200,Thread Group 1-3,10,10,88,0,0
1.5834E+12,05/03/2020 10:24:16.042,94,200,Thread Group 1-6,10,10,94,0,0
1.5834E+12,05/03/2020 10:24:16.078,105,200,Thread Group 1-1,10,10,105,0,0
1.5834E+12,05/03/2020 10:24:16.079,87,200,Thread Group 1-10,10,10,87,0,0
1.5834E+12,05/03/2020 10:24:16.104,127,200,Thread Group 1-4,10,10,126,0,0
1.5834E+12,05/03/2020 10:24:16.106,79,200,Thread Group 1-3,10,10,79,0,0
1.5834E+12,05/03/2020 10:24:16.133,91,200,Thread Group 1-6,10,10,91,0,0
1.5834E+12,05/03/2020 10:24:16.175,96,200,Thread Group 1-10,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:16.187,81,200,Thread Group 1-3,10,10,81,0,0
1.5834E+12,05/03/2020 10:24:16.191,113,200,Thread Group 1-1,10,10,113,0,0
1.5834E+12,05/03/2020 10:24:16.201,417,200,Thread Group 1-2,10,10,417,0,0
1.5834E+12,05/03/2020 10:24:16.245,112,200,Thread Group 1-6,10,10,112,0,0
1.5834E+12,05/03/2020 10:24:16.271,96,200,Thread Group 1-10,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:16.292,101,200,Thread Group 1-1,10,10,101,0,0
